GO_ID	GO_LABEL_FULL	NUMBER_OF_GENES_IN_REFERENCE	NUMBER_OF_GENES_IN_INPUT	NUMBER_OF_GENES_EXPECTED	+/-	FOLD_ENRICHMENT	RAW_P_VALUE	FDR
GO:0071599	otic vesicle development (GO:0071599)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0071549	cellular response to dexamethasone stimulus (GO:0071549)	28	2	1.64	+	1.22	6.82E-01	1.00E00
GO:1902287	semaphorin-plexin signaling pathway involved in axon guidance (GO:1902287)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0032740	positive regulation of interleukin-17 production (GO:0032740)	28	2	1.64	+	1.22	6.82E-01	1.00E00
GO:0006465	signal peptide processing (GO:0006465)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0014061	regulation of norepinephrine secretion (GO:0014061)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0002063	chondrocyte development (GO:0002063)	28	2	1.64	+	1.22	6.82E-01	1.00E00
GO:0006418	tRNA aminoacylation for protein translation (GO:0006418)	42	3	2.47	+	1.22	7.38E-01	1.00E00
GO:2000379	positive regulation of reactive oxygen species metabolic process (GO:2000379)	70	5	4.11	+	1.22	6.10E-01	1.00E00
GO:0071361	cellular response to ethanol (GO:0071361)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0033004	negative regulation of mast cell activation (GO:0033004)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0006287	base-excision repair, gap-filling (GO:0006287)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0006284	base-excision repair (GO:0006284)	42	3	2.47	+	1.22	7.38E-01	1.00E00
GO:0051645	Golgi localization (GO:0051645)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0032482	Rab protein signal transduction (GO:0032482)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0099500	vesicle fusion to plasma membrane (GO:0099500)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0090278	negative regulation of peptide hormone secretion (GO:0090278)	42	3	2.47	+	1.22	7.38E-01	1.00E00
GO:0048791	calcium ion-regulated exocytosis of neurotransmitter (GO:0048791)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0090239	regulation of histone H4 acetylation (GO:0090239)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0090205	positive regulation of cholesterol metabolic process (GO:0090205)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0044342	type B pancreatic cell proliferation (GO:0044342)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0032375	negative regulation of cholesterol transport (GO:0032375)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0032372	negative regulation of sterol transport (GO:0032372)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0006000	fructose metabolic process (GO:0006000)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0050966	detection of mechanical stimulus involved in sensory perception of pain (GO:0050966)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0048641	regulation of skeletal muscle tissue development (GO:0048641)	28	2	1.64	+	1.22	6.82E-01	1.00E00
GO:0044247	cellular polysaccharide catabolic process (GO:0044247)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:1905664	regulation of calcium ion import across plasma membrane (GO:1905664)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0050850	positive regulation of calcium-mediated signaling (GO:0050850)	42	3	2.47	+	1.22	7.38E-01	1.00E00
GO:0098761	cellular response to interleukin-7 (GO:0098761)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0098760	response to interleukin-7 (GO:0098760)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0070307	lens fiber cell development (GO:0070307)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:1901028	regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901028)	28	2	1.64	+	1.22	6.82E-01	1.00E00
GO:0048302	regulation of isotype switching to IgG isotypes (GO:0048302)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0070168	negative regulation of biomineral tissue development (GO:0070168)	28	2	1.64	+	1.22	6.82E-01	1.00E00
GO:0070141	response to UV-A (GO:0070141)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:1900426	positive regulation of defense response to bacterium (GO:1900426)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:1900407	regulation of cellular response to oxidative stress (GO:1900407)	84	6	4.93	+	1.22	6.40E-01	1.00E00
GO:0000271	polysaccharide biosynthetic process (GO:0000271)	42	3	2.47	+	1.22	7.38E-01	1.00E00
GO:0035721	intraciliary retrograde transport (GO:0035721)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0048148	behavioral response to cocaine (GO:0048148)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0031282	regulation of guanylate cyclase activity (GO:0031282)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0042744	hydrogen peroxide catabolic process (GO:0042744)	28	2	1.64	+	1.22	6.82E-01	1.00E00
GO:0036075	replacement ossification (GO:0036075)	28	2	1.64	+	1.22	6.82E-01	1.00E00
GO:0035589	G protein-coupled purinergic nucleotide receptor signaling pathway (GO:0035589)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0035563	positive regulation of chromatin binding (GO:0035563)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:1905063	regulation of vascular associated smooth muscle cell differentiation (GO:1905063)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0042634	regulation of hair cycle (GO:0042634)	28	2	1.64	+	1.22	6.82E-01	1.00E00
GO:0016339	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0016339)	42	3	2.47	+	1.22	7.38E-01	1.00E00
GO:0055076	transition metal ion homeostasis (GO:0055076)	140	10	8.22	+	1.22	4.76E-01	1.00E00
GO:0009167	purine ribonucleoside monophosphate metabolic process (GO:0009167)	42	3	2.47	+	1.22	7.38E-01	1.00E00
GO:0042559	pteridine-containing compound biosynthetic process (GO:0042559)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:1900048	positive regulation of hemostasis (GO:1900048)	28	2	1.64	+	1.22	6.82E-01	1.00E00
GO:1900037	regulation of cellular response to hypoxia (GO:1900037)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0030518	intracellular steroid hormone receptor signaling pathway (GO:0030518)	56	4	3.29	+	1.22	5.75E-01	1.00E00
GO:0035372	protein localization to microtubule (GO:0035372)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0009071	serine family amino acid catabolic process (GO:0009071)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0042438	melanin biosynthetic process (GO:0042438)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0010867	positive regulation of triglyceride biosynthetic process (GO:0010867)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0010833	telomere maintenance via telomere lengthening (GO:0010833)	28	2	1.64	+	1.22	6.82E-01	1.00E00
GO:0015697	quaternary ammonium group transport (GO:0015697)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0042359	vitamin D metabolic process (GO:0042359)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0042307	positive regulation of protein import into nucleus (GO:0042307)	42	3	2.47	+	1.22	7.38E-01	1.00E00
GO:0010714	positive regulation of collagen metabolic process (GO:0010714)	28	2	1.64	+	1.22	6.82E-01	1.00E00
GO:0060964	regulation of miRNA-mediated gene silencing (GO:0060964)	42	3	2.47	+	1.22	7.38E-01	1.00E00
GO:0046655	folic acid metabolic process (GO:0046655)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0097396	response to interleukin-17 (GO:0097396)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0097320	plasma membrane tubulation (GO:0097320)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0010666	positive regulation of cardiac muscle cell apoptotic process (GO:0010666)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0010663	positive regulation of striated muscle cell apoptotic process (GO:0010663)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0030238	male sex determination (GO:0030238)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0030194	positive regulation of blood coagulation (GO:0030194)	28	2	1.64	+	1.22	6.82E-01	1.00E00
GO:0042136	neurotransmitter biosynthetic process (GO:0042136)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0030104	water homeostasis (GO:0030104)	70	5	4.11	+	1.22	6.10E-01	1.00E00
GO:0010524	positive regulation of calcium ion transport into cytosol (GO:0010524)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0003353	positive regulation of cilium movement (GO:0003353)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0060765	regulation of androgen receptor signaling pathway (GO:0060765)	28	2	1.64	+	1.22	6.82E-01	1.00E00
GO:0046462	monoacylglycerol metabolic process (GO:0046462)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0030098	lymphocyte differentiation (GO:0030098)	280	20	16.44	+	1.22	3.73E-01	1.00E00
GO:0002891	positive regulation of immunoglobulin mediated immune response (GO:0002891)	42	3	2.47	+	1.22	7.38E-01	1.00E00
GO:0010458	exit from mitosis (GO:0010458)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0045989	positive regulation of striated muscle contraction (GO:0045989)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0046348	amino sugar catabolic process (GO:0046348)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0034333	adherens junction assembly (GO:0034333)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0002714	positive regulation of B cell mediated immunity (GO:0002714)	42	3	2.47	+	1.22	7.38E-01	1.00E00
GO:0002705	positive regulation of leukocyte mediated immunity (GO:0002705)	140	10	8.22	+	1.22	4.76E-01	1.00E00
GO:0045830	positive regulation of isotype switching (GO:0045830)	28	2	1.64	+	1.22	6.82E-01	1.00E00
GO:0072531	pyrimidine-containing compound transmembrane transport (GO:0072531)	14	1	.82	+	1.22	5.75E-01	1.00E00
GO:0032874	positive regulation of stress-activated MAPK cascade (GO:0032874)	126	9	7.40	+	1.22	5.68E-01	1.00E00
GO:0001578	microtubule bundle formation (GO:0001578)	126	9	7.40	+	1.22	5.68E-01	1.00E00
GO:0002699	positive regulation of immune effector process (GO:0002699)	267	19	15.68	+	1.21	4.33E-01	1.00E00
GO:0019221	cytokine-mediated signaling pathway (GO:0019221)	366	26	21.49	+	1.21	3.17E-01	9.42E-01
GO:0046649	lymphocyte activation (GO:0046649)	465	33	27.31	+	1.21	2.76E-01	8.79E-01
GO:0032787	monocarboxylic acid metabolic process (GO:0032787)	508	36	29.83	+	1.21	2.55E-01	8.35E-01
GO:0042176	regulation of protein catabolic process (GO:0042176)	367	26	21.55	+	1.21	3.72E-01	1.00E00
GO:0051701	biological process involved in interaction with host (GO:0051701)	156	11	9.16	+	1.20	4.98E-01	1.00E00
GO:0046434	organophosphate catabolic process (GO:0046434)	156	11	9.16	+	1.20	4.98E-01	1.00E00
GO:0032722	positive regulation of chemokine production (GO:0032722)	71	5	4.17	+	1.20	6.14E-01	1.00E00
GO:0042886	amide transport (GO:0042886)	142	10	8.34	+	1.20	5.91E-01	1.00E00
GO:0042490	mechanoreceptor differentiation (GO:0042490)	71	5	4.17	+	1.20	6.14E-01	1.00E00
GO:0046470	phosphatidylcholine metabolic process (GO:0046470)	71	5	4.17	+	1.20	6.14E-01	1.00E00
GO:0061077	chaperone-mediated protein folding (GO:0061077)	71	5	4.17	+	1.20	6.14E-01	1.00E00
GO:0006952	defense response (GO:0006952)	1478	104	86.79	+	1.20	6.78E-02	4.55E-01
GO:0002285	lymphocyte activation involved in immune response (GO:0002285)	128	9	7.52	+	1.20	5.72E-01	1.00E00
GO:0070304	positive regulation of stress-activated protein kinase signaling cascade (GO:0070304)	128	9	7.52	+	1.20	5.72E-01	1.00E00
GO:0046883	regulation of hormone secretion (GO:0046883)	242	17	14.21	+	1.20	4.93E-01	1.00E00
GO:0002253	activation of immune response (GO:0002253)	356	25	20.90	+	1.20	3.66E-01	1.00E00
GO:0034219	carbohydrate transmembrane transport (GO:0034219)	57	4	3.35	+	1.20	5.81E-01	1.00E00
GO:1903050	regulation of proteolysis involved in protein catabolic process (GO:1903050)	228	16	13.39	+	1.20	4.80E-01	1.00E00
GO:0001961	positive regulation of cytokine-mediated signaling pathway (GO:0001961)	57	4	3.35	+	1.20	5.81E-01	1.00E00
GO:1990849	vacuolar localization (GO:1990849)	57	4	3.35	+	1.20	5.81E-01	1.00E00
GO:0140238	presynaptic endocytosis (GO:0140238)	57	4	3.35	+	1.20	5.81E-01	1.00E00
GO:0032418	lysosome localization (GO:0032418)	57	4	3.35	+	1.20	5.81E-01	1.00E00
GO:0048488	synaptic vesicle endocytosis (GO:0048488)	57	4	3.35	+	1.20	5.81E-01	1.00E00
GO:0019827	stem cell population maintenance (GO:0019827)	114	8	6.69	+	1.20	5.52E-01	1.00E00
GO:0046513	ceramide biosynthetic process (GO:0046513)	57	4	3.35	+	1.20	5.81E-01	1.00E00
GO:0003002	regionalization (GO:0003002)	342	24	20.08	+	1.20	3.58E-01	1.00E00
GO:0007276	gamete generation (GO:0007276)	756	53	44.39	+	1.19	2.10E-01	7.52E-01
GO:0006325	chromatin organization (GO:0006325)	585	41	34.35	+	1.19	2.50E-01	8.20E-01
GO:0001817	regulation of cytokine production (GO:0001817)	742	52	43.57	+	1.19	2.06E-01	7.40E-01
GO:0002690	positive regulation of leukocyte chemotaxis (GO:0002690)	100	7	5.87	+	1.19	6.69E-01	1.00E00
GO:0071364	cellular response to epidermal growth factor stimulus (GO:0071364)	43	3	2.52	+	1.19	7.41E-01	1.00E00
GO:0031294	lymphocyte costimulation (GO:0031294)	43	3	2.52	+	1.19	7.41E-01	1.00E00
GO:1903426	regulation of reactive oxygen species biosynthetic process (GO:1903426)	43	3	2.52	+	1.19	7.41E-01	1.00E00
GO:0002792	negative regulation of peptide secretion (GO:0002792)	43	3	2.52	+	1.19	7.41E-01	1.00E00
GO:0043280	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043280)	129	9	7.57	+	1.19	5.74E-01	1.00E00
GO:0042594	response to starvation (GO:0042594)	215	15	12.62	+	1.19	4.69E-01	1.00E00
GO:0060041	retina development in camera-type eye (GO:0060041)	158	11	9.28	+	1.19	5.03E-01	1.00E00
GO:0050905	neuromuscular process (GO:0050905)	144	10	8.46	+	1.18	5.94E-01	1.00E00
GO:0031623	receptor internalization (GO:0031623)	72	5	4.23	+	1.18	6.18E-01	1.00E00
GO:0007589	body fluid secretion (GO:0007589)	72	5	4.23	+	1.18	6.18E-01	1.00E00
GO:0120031	plasma membrane bounded cell projection assembly (GO:0120031)	418	29	24.55	+	1.18	3.49E-01	9.83E-01
GO:0051249	regulation of lymphocyte activation (GO:0051249)	591	41	34.70	+	1.18	2.90E-01	9.08E-01
GO:0006721	terpenoid metabolic process (GO:0006721)	101	7	5.93	+	1.18	6.70E-01	1.00E00
GO:0016485	protein processing (GO:0016485)	202	14	11.86	+	1.18	5.48E-01	1.00E00
GO:0000041	transition metal ion transport (GO:0000041)	101	7	5.93	+	1.18	6.70E-01	1.00E00
GO:0048593	camera-type eye morphogenesis (GO:0048593)	130	9	7.63	+	1.18	5.76E-01	1.00E00
GO:0034341	response to interferon-gamma (GO:0034341)	130	9	7.63	+	1.18	5.76E-01	1.00E00
GO:0002366	leukocyte activation involved in immune response (GO:0002366)	188	13	11.04	+	1.18	5.35E-01	1.00E00
GO:0017157	regulation of exocytosis (GO:0017157)	217	15	12.74	+	1.18	5.62E-01	1.00E00
GO:0007431	salivary gland development (GO:0007431)	29	2	1.70	+	1.17	6.90E-01	1.00E00
GO:0110150	negative regulation of biomineralization (GO:0110150)	29	2	1.70	+	1.17	6.90E-01	1.00E00
GO:0002068	glandular epithelial cell development (GO:0002068)	29	2	1.70	+	1.17	6.90E-01	1.00E00
GO:0070661	leukocyte proliferation (GO:0070661)	145	10	8.51	+	1.17	5.95E-01	1.00E00
GO:0031638	zymogen activation (GO:0031638)	58	4	3.41	+	1.17	7.77E-01	1.00E00
GO:0070306	lens fiber cell differentiation (GO:0070306)	29	2	1.70	+	1.17	6.90E-01	1.00E00
GO:0009617	response to bacterium (GO:0009617)	754	52	44.28	+	1.17	2.40E-01	8.36E-01
GO:0098534	centriole assembly (GO:0098534)	29	2	1.70	+	1.17	6.90E-01	1.00E00
GO:0043388	positive regulation of DNA binding (GO:0043388)	58	4	3.41	+	1.17	7.77E-01	1.00E00
GO:0042759	long-chain fatty acid biosynthetic process (GO:0042759)	29	2	1.70	+	1.17	6.90E-01	1.00E00
GO:0015701	bicarbonate transport (GO:0015701)	29	2	1.70	+	1.17	6.90E-01	1.00E00
GO:0046634	regulation of alpha-beta T cell activation (GO:0046634)	116	8	6.81	+	1.17	5.58E-01	1.00E00
GO:0009987	cellular process (GO:0009987)	15044	1037	883.39	+	1.17	4.60E-25	3.44E-22
GO:0051251	positive regulation of lymphocyte activation (GO:0051251)	421	29	24.72	+	1.17	4.04E-01	1.00E00
GO:0009952	anterior/posterior pattern specification (GO:0009952)	218	15	12.80	+	1.17	5.63E-01	1.00E00
GO:0051179	localization (GO:0051179)	4566	314	268.12	+	1.17	2.53E-03	4.36E-02
GO:0006665	sphingolipid metabolic process (GO:0006665)	160	11	9.40	+	1.17	6.12E-01	1.00E00
GO:0016241	regulation of macroautophagy (GO:0016241)	160	11	9.40	+	1.17	6.12E-01	1.00E00
GO:1902652	secondary alcohol metabolic process (GO:1902652)	131	9	7.69	+	1.17	5.79E-01	1.00E00
GO:0071219	cellular response to molecule of bacterial origin (GO:0071219)	204	14	11.98	+	1.17	5.50E-01	1.00E00
GO:0001819	positive regulation of cytokine production (GO:0001819)	481	33	28.24	+	1.17	3.79E-01	1.00E00
GO:0015698	inorganic anion transport (GO:0015698)	175	12	10.28	+	1.17	5.23E-01	1.00E00
GO:0055085	transmembrane transport (GO:0055085)	1225	84	71.93	+	1.17	1.52E-01	6.91E-01
GO:0008544	epidermis development (GO:0008544)	321	22	18.85	+	1.17	4.74E-01	1.00E00
GO:1903201	regulation of oxidative stress-induced cell death (GO:1903201)	73	5	4.29	+	1.17	6.22E-01	1.00E00
GO:0006997	nucleus organization (GO:0006997)	146	10	8.57	+	1.17	5.97E-01	1.00E00
GO:0034121	regulation of toll-like receptor signaling pathway (GO:0034121)	73	5	4.29	+	1.17	6.22E-01	1.00E00
GO:0090559	regulation of membrane permeability (GO:0090559)	73	5	4.29	+	1.17	6.22E-01	1.00E00
GO:0010508	positive regulation of autophagy (GO:0010508)	146	10	8.57	+	1.17	5.97E-01	1.00E00
GO:0071763	nuclear membrane organization (GO:0071763)	44	3	2.58	+	1.16	7.45E-01	1.00E00
GO:0045216	cell-cell junction organization (GO:0045216)	176	12	10.33	+	1.16	6.29E-01	1.00E00
GO:0044058	regulation of digestive system process (GO:0044058)	44	3	2.58	+	1.16	7.45E-01	1.00E00
GO:1900368	regulation of post-transcriptional gene silencing by RNA (GO:1900368)	44	3	2.58	+	1.16	7.45E-01	1.00E00
GO:0016445	somatic diversification of immunoglobulins (GO:0016445)	44	3	2.58	+	1.16	7.45E-01	1.00E00
GO:0009126	purine nucleoside monophosphate metabolic process (GO:0009126)	44	3	2.58	+	1.16	7.45E-01	1.00E00
GO:0010799	regulation of peptidyl-threonine phosphorylation (GO:0010799)	44	3	2.58	+	1.16	7.45E-01	1.00E00
GO:1903573	negative regulation of response to endoplasmic reticulum stress (GO:1903573)	44	3	2.58	+	1.16	7.45E-01	1.00E00
GO:0046427	positive regulation of receptor signaling pathway via JAK-STAT (GO:0046427)	44	3	2.58	+	1.16	7.45E-01	1.00E00
GO:0006897	endocytosis (GO:0006897)	528	36	31.00	+	1.16	3.52E-01	9.91E-01
GO:0030183	B cell differentiation (GO:0030183)	132	9	7.75	+	1.16	5.81E-01	1.00E00
GO:0031331	positive regulation of cellular catabolic process (GO:0031331)	411	28	24.13	+	1.16	4.60E-01	1.00E00
GO:2001141	regulation of RNA biosynthetic process (GO:2001141)	3465	236	203.47	+	1.16	1.80E-02	1.91E-01
GO:0006793	phosphorus metabolic process (GO:0006793)	1881	128	110.45	+	1.16	9.14E-02	5.39E-01
GO:0032869	cellular response to insulin stimulus (GO:0032869)	147	10	8.63	+	1.16	5.99E-01	1.00E00
GO:0006796	phosphate-containing compound metabolic process (GO:0006796)	1855	126	108.93	+	1.16	9.94E-02	5.72E-01
GO:0055088	lipid homeostasis (GO:0055088)	162	11	9.51	+	1.16	6.15E-01	1.00E00
GO:0019219	regulation of nucleobase-containing compound metabolic process (GO:0019219)	4067	276	238.82	+	1.16	1.05E-02	1.32E-01
GO:0051641	cellular localization (GO:0051641)	2655	180	155.90	+	1.15	4.77E-02	3.64E-01
GO:0051289	protein homotetramerization (GO:0051289)	59	4	3.46	+	1.15	7.79E-01	1.00E00
GO:0043297	apical junction assembly (GO:0043297)	59	4	3.46	+	1.15	7.79E-01	1.00E00
GO:0002263	cell activation involved in immune response (GO:0002263)	192	13	11.27	+	1.15	5.42E-01	1.00E00
GO:0090087	regulation of peptide transport (GO:0090087)	192	13	11.27	+	1.15	5.42E-01	1.00E00
GO:0051057	positive regulation of small GTPase mediated signal transduction (GO:0051057)	74	5	4.35	+	1.15	6.26E-01	1.00E00
GO:0030522	intracellular receptor signaling pathway (GO:0030522)	148	10	8.69	+	1.15	6.01E-01	1.00E00
GO:0007281	germ cell development (GO:0007281)	311	21	18.26	+	1.15	5.44E-01	1.00E00
GO:0032370	positive regulation of lipid transport (GO:0032370)	89	6	5.23	+	1.15	6.53E-01	1.00E00
GO:0042632	cholesterol homeostasis (GO:0042632)	89	6	5.23	+	1.15	6.53E-01	1.00E00
GO:0010952	positive regulation of peptidase activity (GO:0010952)	193	13	11.33	+	1.15	6.44E-01	1.00E00
GO:0009889	regulation of biosynthetic process (GO:0009889)	4163	280	244.45	+	1.15	1.53E-02	1.71E-01
GO:0032386	regulation of intracellular transport (GO:0032386)	342	23	20.08	+	1.15	4.89E-01	1.00E00
GO:0032649	regulation of interferon-gamma production (GO:0032649)	119	8	6.99	+	1.14	6.95E-01	1.00E00
GO:0006355	regulation of DNA-templated transcription (GO:0006355)	3454	232	202.82	+	1.14	3.29E-02	2.88E-01
GO:0043588	skin development (GO:0043588)	268	18	15.74	+	1.14	5.17E-01	1.00E00
GO:1903530	regulation of secretion by cell (GO:1903530)	566	38	33.24	+	1.14	4.16E-01	1.00E00
GO:1903506	regulation of nucleic acid-templated transcription (GO:1903506)	3456	232	202.94	+	1.14	3.30E-02	2.88E-01
GO:0002376	immune system process (GO:0002376)	2429	163	142.63	+	1.14	8.23E-02	5.09E-01
GO:0006631	fatty acid metabolic process (GO:0006631)	328	22	19.26	+	1.14	5.55E-01	1.00E00
GO:0050792	regulation of viral process (GO:0050792)	164	11	9.63	+	1.14	6.18E-01	1.00E00
GO:0034504	protein localization to nucleus (GO:0034504)	194	13	11.39	+	1.14	6.45E-01	1.00E00
GO:2001020	regulation of response to DNA damage stimulus (GO:2001020)	314	21	18.44	+	1.14	5.47E-01	1.00E00
GO:0010556	regulation of macromolecule biosynthetic process (GO:0010556)	3938	263	231.24	+	1.14	2.68E-02	2.53E-01
GO:0006357	regulation of transcription by RNA polymerase II (GO:0006357)	2606	174	153.03	+	1.14	8.35E-02	5.17E-01
GO:0043933	protein-containing complex organization (GO:0043933)	1423	95	83.56	+	1.14	2.22E-01	7.78E-01
GO:0010225	response to UV-C (GO:0010225)	15	1	.88	+	1.14	5.99E-01	1.00E00
GO:0060445	branching involved in salivary gland morphogenesis (GO:0060445)	15	1	.88	+	1.14	5.99E-01	1.00E00
GO:0003009	skeletal muscle contraction (GO:0003009)	30	2	1.76	+	1.14	6.97E-01	1.00E00
GO:0034116	positive regulation of heterotypic cell-cell adhesion (GO:0034116)	15	1	.88	+	1.14	5.99E-01	1.00E00
GO:1902644	tertiary alcohol metabolic process (GO:1902644)	15	1	.88	+	1.14	5.99E-01	1.00E00
GO:1902563	regulation of neutrophil activation (GO:1902563)	15	1	.88	+	1.14	5.99E-01	1.00E00
GO:2001140	positive regulation of phospholipid transport (GO:2001140)	15	1	.88	+	1.14	5.99E-01	1.00E00
GO:2000671	regulation of motor neuron apoptotic process (GO:2000671)	15	1	.88	+	1.14	5.99E-01	1.00E00
GO:0045348	positive regulation of MHC class II biosynthetic process (GO:0045348)	15	1	.88	+	1.14	5.99E-01	1.00E00
GO:0001710	mesodermal cell fate commitment (GO:0001710)	15	1	.88	+	1.14	5.99E-01	1.00E00
GO:1902306	negative regulation of sodium ion transmembrane transport (GO:1902306)	15	1	.88	+	1.14	5.99E-01	1.00E00
GO:0006516	glycoprotein catabolic process (GO:0006516)	30	2	1.76	+	1.14	6.97E-01	1.00E00
GO:0032700	negative regulation of interleukin-17 production (GO:0032700)	15	1	.88	+	1.14	5.99E-01	1.00E00
GO:0071451	cellular response to superoxide (GO:0071451)	15	1	.88	+	1.14	5.99E-01	1.00E00
GO:0071450	cellular response to oxygen radical (GO:0071450)	15	1	.88	+	1.14	5.99E-01	1.00E00
GO:0045176	apical protein localization (GO:0045176)	15	1	.88	+	1.14	5.99E-01	1.00E00
GO:0070986	left/right axis specification (GO:0070986)	15	1	.88	+	1.14	5.99E-01	1.00E00
GO:0070979	protein K11-linked ubiquitination (GO:0070979)	30	2	1.76	+	1.14	6.97E-01	1.00E00
GO:0051791	medium-chain fatty acid metabolic process (GO:0051791)	15	1	.88	+	1.14	5.99E-01	1.00E00
GO:0033008	positive regulation of mast cell activation involved in immune response (GO:0033008)	15	1	.88	+	1.14	5.99E-01	1.00E00
GO:0090398	cellular senescence (GO:0090398)	60	4	3.52	+	1.14	7.81E-01	1.00E00
GO:0032352	positive regulation of hormone metabolic process (GO:0032352)	15	1	.88	+	1.14	5.99E-01	1.00E00
GO:0032309	icosanoid secretion (GO:0032309)	30	2	1.76	+	1.14	6.97E-01	1.00E00
GO:0050930	induction of positive chemotaxis (GO:0050930)	15	1	.88	+	1.14	5.99E-01	1.00E00
GO:0032268	regulation of cellular protein metabolic process (GO:0032268)	15	1	.88	+	1.14	5.99E-01	1.00E00
GO:0051353	positive regulation of oxidoreductase activity (GO:0051353)	60	4	3.52	+	1.14	7.81E-01	1.00E00
GO:1901201	regulation of extracellular matrix assembly (GO:1901201)	15	1	.88	+	1.14	5.99E-01	1.00E00
GO:0050820	positive regulation of coagulation (GO:0050820)	30	2	1.76	+	1.14	6.97E-01	1.00E00
GO:0051290	protein heterotetramerization (GO:0051290)	15	1	.88	+	1.14	5.99E-01	1.00E00
GO:0043508	negative regulation of JUN kinase activity (GO:0043508)	15	1	.88	+	1.14	5.99E-01	1.00E00
GO:0043506	regulation of JUN kinase activity (GO:0043506)	60	4	3.52	+	1.14	7.81E-01	1.00E00
GO:1904936	interneuron migration (GO:1904936)	15	1	.88	+	1.14	5.99E-01	1.00E00
GO:0035883	enteroendocrine cell differentiation (GO:0035883)	30	2	1.76	+	1.14	6.97E-01	1.00E00
GO:0043455	regulation of secondary metabolic process (GO:0043455)	15	1	.88	+	1.14	5.99E-01	1.00E00
GO:0070199	establishment of protein localization to chromosome (GO:0070199)	15	1	.88	+	1.14	5.99E-01	1.00E00
GO:0070166	enamel mineralization (GO:0070166)	15	1	.88	+	1.14	5.99E-01	1.00E00
GO:0048261	negative regulation of receptor-mediated endocytosis (GO:0048261)	30	2	1.76	+	1.14	6.97E-01	1.00E00
GO:1904862	inhibitory synapse assembly (GO:1904862)	15	1	.88	+	1.14	5.99E-01	1.00E00
GO:0043306	positive regulation of mast cell degranulation (GO:0043306)	15	1	.88	+	1.14	5.99E-01	1.00E00
