GO_ID	GO_LABEL_FULL	NUMBER_OF_GENES_IN_REFERENCE	NUMBER_OF_GENES_IN_INPUT	NUMBER_OF_GENES_EXPECTED	+/-	FOLD_ENRICHMENT	RAW_P_VALUE	FDR
GO:0004372	glycine hydroxymethyltransferase activity (GO:0004372)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0004371	glycerone kinase activity (GO:0004371)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0004370	glycerol kinase activity (GO:0004370)	4	0	.23	-	 < 0.01	1.00E00	1.00E00
GO:0002196	Ser-tRNA(Ala) hydrolase activity (GO:0002196)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0047464	heparosan-N-sulfate-glucuronate 5-epimerase activity (GO:0047464)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0008725	DNA-3-methyladenine glycosylase activity (GO:0008725)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0061712	tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase (GO:0061712)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0008721	D-serine ammonia-lyase activity (GO:0008721)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0061711	N(6)-L-threonylcarbamoyladenine synthase activity (GO:0061711)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0008720	D-lactate dehydrogenase activity (GO:0008720)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0061710	L-threonylcarbamoyladenylate synthase (GO:0061710)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0004368	glycerol-3-phosphate dehydrogenase (quinone) activity (GO:0004368)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0004367	glycerol-3-phosphate dehydrogenase [NAD+] activity (GO:0004367)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0004366	glycerol-3-phosphate O-acyltransferase activity (GO:0004366)	4	0	.23	-	 < 0.01	1.00E00	1.00E00
GO:0004365	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity (GO:0004365)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0004363	glutathione synthase activity (GO:0004363)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0004362	glutathione-disulfide reductase (NADPH) activity (GO:0004362)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0004361	glutaryl-CoA dehydrogenase activity (GO:0004361)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0004360	glutamine-fructose-6-phosphate transaminase (isomerizing) activity (GO:0004360)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0016316	phosphatidylinositol-3,4-bisphosphate 4-phosphatase activity (GO:0016316)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0047453	ATP-dependent NAD(P)H-hydrate dehydratase activity (GO:0047453)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0016314	phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase activity (GO:0016314)	5	0	.29	-	 < 0.01	1.00E00	1.00E00
GO:0047451	3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity (GO:0047451)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0061708	tRNA-5-taurinomethyluridine 2-sulfurtransferase (GO:0061708)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0016312	inositol bisphosphate phosphatase activity (GO:0016312)	5	0	.29	-	 < 0.01	1.00E00	1.00E00
GO:0004359	glutaminase activity (GO:0004359)	3	0	.18	-	 < 0.01	1.00E00	1.00E00
GO:0004357	glutamate-cysteine ligase activity (GO:0004357)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0004356	glutamate-ammonia ligase activity (GO:0004356)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0004354	glutamate dehydrogenase (NADP+) activity (GO:0004354)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0004353	glutamate dehydrogenase [NAD(P)+] activity (GO:0004353)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0051920	peroxiredoxin activity (GO:0051920)	8	0	.47	-	 < 0.01	1.00E00	1.00E00
GO:0004352	glutamate dehydrogenase (NAD+) activity (GO:0004352)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0004350	glutamate-5-semialdehyde dehydrogenase activity (GO:0004350)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0016309	1-phosphatidylinositol-5-phosphate 4-kinase activity (GO:0016309)	3	0	.18	-	 < 0.01	1.00E00	1.00E00
GO:0047444	N-acylneuraminate-9-phosphate synthase activity (GO:0047444)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0047442	17-alpha-hydroxyprogesterone aldolase activity (GO:0047442)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0008709	cholate 7-alpha-dehydrogenase activity (GO:0008709)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0016303	1-phosphatidylinositol-3-kinase activity (GO:0016303)	10	0	.59	-	 < 0.01	1.00E00	1.00E00
GO:0016300	tRNA (uracil) methyltransferase activity (GO:0016300)	5	0	.29	-	 < 0.01	1.00E00	1.00E00
GO:0008705	methionine synthase activity (GO:0008705)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0008700	4-hydroxy-2-oxoglutarate aldolase activity (GO:0008700)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0004349	glutamate 5-kinase activity (GO:0004349)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0035485	adenine/guanine mispair binding (GO:0035485)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0051916	granulocyte colony-stimulating factor binding (GO:0051916)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0004348	glucosylceramidase activity (GO:0004348)	4	0	.23	-	 < 0.01	1.00E00	1.00E00
GO:0004347	glucose-6-phosphate isomerase activity (GO:0004347)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0004346	glucose-6-phosphatase activity (GO:0004346)	3	0	.18	-	 < 0.01	1.00E00	1.00E00
GO:0004345	glucose-6-phosphate dehydrogenase activity (GO:0004345)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0004344	glucose dehydrogenase activity (GO:0004344)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0004343	glucosamine 6-phosphate N-acetyltransferase activity (GO:0004343)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0004342	glucosamine-6-phosphate deaminase activity (GO:0004342)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0004340	glucokinase activity (GO:0004340)	6	0	.35	-	 < 0.01	1.00E00	1.00E00
GO:0002161	aminoacyl-tRNA editing activity (GO:0002161)	13	0	.76	-	 < 0.01	1.00E00	1.00E00
GO:0004339	glucan 1,4-alpha-glucosidase activity (GO:0004339)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0004337	geranyltranstransferase activity (GO:0004337)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0004336	galactosylceramidase activity (GO:0004336)	5	0	.29	-	 < 0.01	1.00E00	1.00E00
GO:0035472	choriogonadotropin hormone receptor activity (GO:0035472)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0051903	S-(hydroxymethyl)glutathione dehydrogenase activity (GO:0051903)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0004335	galactokinase activity (GO:0004335)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0004334	fumarylacetoacetase activity (GO:0004334)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0004333	fumarate hydratase activity (GO:0004333)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0004332	fructose-bisphosphate aldolase activity (GO:0004332)	3	0	.18	-	 < 0.01	1.00E00	1.00E00
GO:0002153	steroid receptor RNA activator RNA binding (GO:0002153)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0002151	G-quadruplex RNA binding (GO:0002151)	6	0	.35	-	 < 0.01	1.00E00	1.00E00
GO:0004326	tetrahydrofolylpolyglutamate synthase activity (GO:0004326)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0004325	ferrochelatase activity (GO:0004325)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0004324	ferredoxin-NADP+ reductase activity (GO:0004324)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0033285	ATPase-coupled monocarboxylic acid transmembrane transporter activity (GO:0033285)	4	0	.23	-	 < 0.01	1.00E00	1.00E00
GO:0004321	fatty-acyl-CoA synthase activity (GO:0004321)	7	0	.41	-	 < 0.01	1.00E00	1.00E00
GO:0033284	ATPase-coupled carboxylic acid transmembrane transporter activity (GO:0033284)	4	0	.23	-	 < 0.01	1.00E00	1.00E00
GO:0047419	N-acetylgalactosamine-6-phosphate deacetylase activity (GO:0047419)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0004320	oleoyl-[acyl-carrier-protein] hydrolase activity (GO:0004320)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0033283	ATPase-coupled organic acid transmembrane transporter activity (GO:0033283)	4	0	.23	-	 < 0.01	1.00E00	1.00E00
GO:0047412	N-(long-chain-acyl)ethanolamine deacylase activity (GO:0047412)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0090624	endoribonuclease activity, cleaving miRNA-paired mRNA (GO:0090624)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0004317	3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity (GO:0004317)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0004316	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity (GO:0004316)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0004315	3-oxoacyl-[acyl-carrier-protein] synthase activity (GO:0004315)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0004314	[acyl-carrier-protein] S-malonyltransferase activity (GO:0004314)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0004313	[acyl-carrier-protein] S-acetyltransferase activity (GO:0004313)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0004312	fatty acid synthase activity (GO:0004312)	13	0	.76	-	 < 0.01	1.00E00	1.00E00
GO:0004311	farnesyltranstransferase activity (GO:0004311)	3	0	.18	-	 < 0.01	1.00E00	1.00E00
GO:0047409	alkenylglycerophosphoethanolamine hydrolase activity (GO:0047409)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0004310	farnesyl-diphosphate farnesyltransferase activity (GO:0004310)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0047408	alkenylglycerophosphocholine hydrolase activity (GO:0047408)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0002135	CTP binding (GO:0002135)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0002134	UTP binding (GO:0002134)	3	0	.18	-	 < 0.01	1.00E00	1.00E00
GO:0047402	protein-glucosylgalactosylhydroxylysine glucosidase activity (GO:0047402)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0043047	single-stranded telomeric DNA binding (GO:0043047)	12	0	.70	-	 < 0.01	1.00E00	1.00E00
GO:0004309	exopolyphosphatase activity (GO:0004309)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0004308	exo-alpha-sialidase activity (GO:0004308)	5	0	.29	-	 < 0.01	1.00E00	1.00E00
GO:0004307	ethanolaminephosphotransferase activity (GO:0004307)	3	0	.18	-	 < 0.01	1.00E00	1.00E00
GO:0004306	ethanolamine-phosphate cytidylyltransferase activity (GO:0004306)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0140355	cargo receptor ligand activity (GO:0140355)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0004304	estrone sulfotransferase activity (GO:0004304)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0033265	choline binding (GO:0033265)	3	0	.18	-	 < 0.01	1.00E00	1.00E00
GO:0140351	glycosylceramide flippase activity (GO:0140351)	3	0	.18	-	 < 0.01	1.00E00	1.00E00
GO:0004300	enoyl-CoA hydratase activity (GO:0004300)	10	0	.59	-	 < 0.01	1.00E00	1.00E00
GO:0043035	chromatin insulator sequence binding (GO:0043035)	5	0	.29	-	 < 0.01	1.00E00	1.00E00
GO:0035438	cyclic-di-GMP binding (GO:0035438)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0090600	alpha-1,3-glucosidase activity (GO:0090600)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0140348	lysophosphatidylcholine flippase activity (GO:0140348)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0140347	N-retinylidene-phosphatidylethanolamine flippase activity (GO:0140347)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0140346	phosphatidylserine flippase activity (GO:0140346)	5	0	.29	-	 < 0.01	1.00E00	1.00E00
GO:0140344	triglyceride transfer activity (GO:0140344)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0140343	phosphatidylserine transfer activity (GO:0140343)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0140340	cerebroside transfer activity (GO:0140340)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0002114	interleukin-33 receptor activity (GO:0002114)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0002113	interleukin-33 binding (GO:0002113)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0031071	cysteine desulfurase activity (GO:0031071)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0140339	phosphatidylglycerol transfer activity (GO:0140339)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0140338	sphingomyelin transfer activity (GO:0140338)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0140337	diacylglyceride transfer activity (GO:0140337)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:1905394	retromer complex binding (GO:1905394)	9	0	.53	-	 < 0.01	1.00E00	1.00E00
GO:0097690	iron ion transmembrane transporter inhibitor activity (GO:0097690)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0035410	dihydrotestosterone 17-beta-dehydrogenase activity (GO:0035410)	4	0	.23	-	 < 0.01	1.00E00	1.00E00
GO:0046997	oxidoreductase activity, acting on the CH-NH group of donors, flavin as acceptor (GO:0046997)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0043008	ATP-dependent protein binding (GO:0043008)	9	0	.53	-	 < 0.01	1.00E00	1.00E00
GO:0046992	oxidoreductase activity, acting on X-H and Y-H to form an X-Y bond (GO:0046992)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0097682	intracellular phosphatidylinositol-3,5-bisphosphate-sensitive cation channel activity (GO:0097682)	3	0	.18	-	 < 0.01	1.00E00	1.00E00
GO:0033229	cysteine transmembrane transporter activity (GO:0033229)	3	0	.18	-	 < 0.01	1.00E00	1.00E00
GO:0035401	histone kinase activity (H3-Y41 specific) (GO:0035401)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0035400	histone tyrosine kinase activity (GO:0035400)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0062189	anandamide 14,15 epoxidase activity (GO:0062189)	4	0	.23	-	 < 0.01	1.00E00	1.00E00
GO:0062188	anandamide 11,12 epoxidase activity (GO:0062188)	3	0	.18	-	 < 0.01	1.00E00	1.00E00
GO:0140311	protein sequestering activity (GO:0140311)	10	0	.59	-	 < 0.01	1.00E00	1.00E00
GO:0003899	DNA-directed 5'-3' RNA polymerase activity (GO:0003899)	29	0	1.70	-	 < 0.01	4.07E-01	1.00E00
GO:0062187	anandamide 8,9 epoxidase activity (GO:0062187)	3	0	.18	-	 < 0.01	1.00E00	1.00E00
GO:0062186	anandamide epoxidase activity (GO:0062186)	4	0	.23	-	 < 0.01	1.00E00	1.00E00
GO:0062185	secalciferol 1-monooxygenase activity (GO:0062185)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0003896	DNA primase activity (GO:0003896)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0062184	testosterone 16-beta-hydroxylase activity (GO:0062184)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0062183	all-trans retinoic acid 18-hydroxylase activity (GO:0062183)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0062182	all-trans retinoic acid 4-hydrolase activity (GO:0062182)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0062181	1-alpha,25-dihydroxyvitamin D3 23-hydroxylase activity (GO:0062181)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0062180	25-hydroxycholecalciferol-23-hydroxylase activity (GO:0062180)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0097677	STAT family protein binding (GO:0097677)	12	0	.70	-	 < 0.01	1.00E00	1.00E00
GO:0046980	tapasin binding (GO:0046980)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0062179	vitamin D 23-hydroxylase activity (GO:0062179)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0003884	D-amino-acid oxidase activity (GO:0003884)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0003883	CTP synthase activity (GO:0003883)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0003882	CDP-diacylglycerol-serine O-phosphatidyltransferase activity (GO:0003882)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0003881	CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity (GO:0003881)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0003880	protein C-terminal carboxyl O-methyltransferase activity (GO:0003880)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0046979	TAP2 binding (GO:0046979)	3	0	.18	-	 < 0.01	1.00E00	1.00E00
GO:0046978	TAP1 binding (GO:0046978)	5	0	.29	-	 < 0.01	1.00E00	1.00E00
GO:0046977	TAP binding (GO:0046977)	8	0	.47	-	 < 0.01	1.00E00	1.00E00
GO:0046975	histone methyltransferase activity (H3-K36 specific) (GO:0046975)	11	0	.65	-	 < 0.01	1.00E00	1.00E00
GO:0046972	histone acetyltransferase activity (H4-K16 specific) (GO:0046972)	3	0	.18	-	 < 0.01	1.00E00	1.00E00
GO:0046970	NAD-dependent histone deacetylase activity (H4-K16 specific) (GO:0046970)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0033204	ribonuclease P RNA binding (GO:0033204)	10	0	.59	-	 < 0.01	1.00E00	1.00E00
GO:0003878	ATP citrate synthase activity (GO:0003878)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0003877	ATP adenylyltransferase activity (GO:0003877)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0003876	AMP deaminase activity (GO:0003876)	3	0	.18	-	 < 0.01	1.00E00	1.00E00
GO:0003875	ADP-ribosylarginine hydrolase activity (GO:0003875)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0003874	6-pyruvoyltetrahydropterin synthase activity (GO:0003874)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0003872	6-phosphofructokinase activity (GO:0003872)	3	0	.18	-	 < 0.01	1.00E00	1.00E00
GO:0003870	5-aminolevulinate synthase activity (GO:0003870)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0046969	NAD-dependent histone deacetylase activity (H3-K9 specific) (GO:0046969)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0046964	3'-phosphoadenosine 5'-phosphosulfate transmembrane transporter activity (GO:0046964)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0097657	3',5'-nucleotide bisphosphate phosphatase activity (GO:0097657)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0001691	pseudophosphatase activity (GO:0001691)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0097655	serpin family protein binding (GO:0097655)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0046961	proton-transporting ATPase activity, rotational mechanism (GO:0046961)	24	0	1.41	-	 < 0.01	6.42E-01	1.00E00
GO:0052381	tRNA dimethylallyltransferase activity (GO:0052381)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0003868	4-hydroxyphenylpyruvate dioxygenase activity (GO:0003868)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0062156	mitochondrial ATP-gated potassium channel activity (GO:0062156)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0003867	4-aminobutyrate transaminase activity (GO:0003867)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0062154	N6-mAMP deaminase activity (GO:0062154)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0003865	3-oxo-5-alpha-steroid 4-dehydrogenase activity (GO:0003865)	3	0	.18	-	 < 0.01	1.00E00	1.00E00
GO:0062153	C5-methylcytidine-containing RNA binding (GO:0062153)	3	0	.18	-	 < 0.01	1.00E00	1.00E00
GO:0062152	mRNA (cytidine-5-)-methyltransferase activity (GO:0062152)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0003863	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity (GO:0003863)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0031014	troponin T binding (GO:0031014)	4	0	.23	-	 < 0.01	1.00E00	1.00E00
GO:0003860	3-hydroxyisobutyryl-CoA hydrolase activity (GO:0003860)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0001681	sialate O-acetylesterase activity (GO:0001681)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0097645	amylin binding (GO:0097645)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0050197	phytanate-CoA ligase activity (GO:0050197)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0003858	3-hydroxybutyrate dehydrogenase activity (GO:0003858)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0003857	3-hydroxyacyl-CoA dehydrogenase activity (GO:0003857)	7	0	.41	-	 < 0.01	1.00E00	1.00E00
GO:0003854	3-beta-hydroxy-delta5-steroid dehydrogenase activity (GO:0003854)	6	0	.35	-	 < 0.01	1.00E00	1.00E00
GO:0003853	2-methylacyl-CoA dehydrogenase activity (GO:0003853)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0003851	2-hydroxyacylsphingosine 1-beta-galactosyltransferase activity (GO:0003851)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0044769	ATPase activity, coupled to transmembrane movement of ions, rotational mechanism (GO:0044769)	24	0	1.41	-	 < 0.01	6.42E-01	1.00E00
GO:0050187	phosphoamidase activity (GO:0050187)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0050185	phosphatidylinositol deacylase activity (GO:0050185)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0042586	peptide deformylase activity (GO:0042586)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0034986	iron chaperone activity (GO:0034986)	3	0	.18	-	 < 0.01	1.00E00	1.00E00
GO:0003846	2-acylglycerol O-acyltransferase activity (GO:0003846)	7	0	.41	-	 < 0.01	1.00E00	1.00E00
GO:0003845	11-beta-hydroxysteroid dehydrogenase [NAD(P)] activity (GO:0003845)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0003844	1,4-alpha-glucan branching enzyme activity (GO:0003844)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0003842	1-pyrroline-5-carboxylate dehydrogenase activity (GO:0003842)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0003841	1-acylglycerol-3-phosphate O-acyltransferase activity (GO:0003841)	21	0	1.23	-	 < 0.01	6.28E-01	1.00E00
GO:0046936	2'-deoxyadenosine deaminase activity (GO:0046936)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0046934	phosphatidylinositol-4,5-bisphosphate 3-kinase activity (GO:0046934)	7	0	.41	-	 < 0.01	1.00E00	1.00E00
GO:0046933	proton-transporting ATP synthase activity, rotational mechanism (GO:0046933)	17	0	1.00	-	 < 0.01	1.00E00	1.00E00
GO:0050178	phenylpyruvate tautomerase activity (GO:0050178)	3	0	.18	-	 < 0.01	1.00E00	1.00E00
GO:0034979	NAD-dependent protein deacetylase activity (GO:0034979)	6	0	.35	-	 < 0.01	1.00E00	1.00E00
GO:0102092	5-diphosphoinositol pentakisphosphate 3-kinase activity (GO:0102092)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0003837	beta-ureidopropionase activity (GO:0003837)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0003836	beta-galactoside (CMP) alpha-2,3-sialyltransferase activity (GO:0003836)	7	0	.41	-	 < 0.01	1.00E00	1.00E00
GO:0003835	beta-galactoside alpha-2,6-sialyltransferase activity (GO:0003835)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0062124	4-hydroxybutyrate receptor activity (GO:0062124)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0003831	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity (GO:0003831)	4	0	.23	-	 < 0.01	1.00E00	1.00E00
GO:0003830	beta-1,4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity (GO:0003830)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0032794	GTPase activating protein binding (GO:0032794)	15	0	.88	-	 < 0.01	1.00E00	1.00E00
GO:0032791	lead ion binding (GO:0032791)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0046923	ER retention sequence binding (GO:0046923)	5	0	.29	-	 < 0.01	1.00E00	1.00E00
GO:0046922	peptide-O-fucosyltransferase activity (GO:0046922)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0046921	alpha-(1->6)-fucosyltransferase activity (GO:0046921)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0046920	alpha-(1->3)-fucosyltransferase activity (GO:0046920)	8	0	.47	-	 < 0.01	1.00E00	1.00E00
GO:0102084	L-dopa O-methyltransferase activity (GO:0102084)	3	0	.18	-	 < 0.01	1.00E00	1.00E00
GO:1903135	cupric ion binding (GO:1903135)	4	0	.23	-	 < 0.01	1.00E00	1.00E00
GO:0003829	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity (GO:0003829)	3	0	.18	-	 < 0.01	1.00E00	1.00E00
GO:0003827	alpha-1,3-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity (GO:0003827)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0001648	proteinase-activated receptor activity (GO:0001648)	5	0	.29	-	 < 0.01	1.00E00	1.00E00
GO:0001642	group III metabotropic glutamate receptor activity (GO:0001642)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0001641	group II metabotropic glutamate receptor activity (GO:0001641)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0046912	acyltransferase activity, acyl groups converted into alkyl on transfer (GO:0046912)	5	0	.29	-	 < 0.01	1.00E00	1.00E00
GO:0046911	metal chelating activity (GO:0046911)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GO:0097604	temperature-gated cation channel activity (GO:0097604)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
GO:0097603	temperature-gated ion channel activity (GO:0097603)	3	0	.18	-	 < 0.01	1.00E00	1.00E00
GO:0044736	acid-sensing ion channel activity (GO:0044736)	2	0	.12	-	 < 0.01	1.00E00	1.00E00
